frz	GCM	RCP	SEP0	SEP1	SEP2	rSEP1	rSEP2
Z1	GCM4_ESM2_10km	rcp26	35.8900522580645	40.5444167741936	40.5379870967742	1.12921609205807	1.12946943373581
Z2	GCM4_ESM2_10km	rcp26	31.3122607361963	35.176631595092	35.4359009202454	1.12147348377065	1.1310255379371
Z3	GCM4_ESM2_10km	rcp26	32.2296112984823	35.7357676222597	36.5672892074199	1.10816610425531	1.13410787685032
Z4	GCM4_ESM2_10km	rcp26	29.1124707317073	32.3293829268293	33.2112024390244	1.11054202911145	1.14064257922314
Z5	GCM4_ESM2_10km	rcp26	29.8096969072165	32.9910788659794	33.9177510309278	1.10586099780477	1.13760031429146
Z6	GCM4_ESM2_10km	rcp26	23.9609494505494	25.9713802197802	26.9179351648352	1.08339721582882	1.12241770600197
Z1	GCM4_ESM2_10km	rcp45	36.1735716129032	46.2091393548387	49.4827238709677	1.27894324059565	1.36903026274154
Z2	GCM4_ESM2_10km	rcp45	30.8049309815951	38.8958668711656	41.4184006134969	1.26288724844272	1.34584135567943
Z3	GCM4_ESM2_10km	rcp45	31.9128320404722	41.9145224283305	44.1227062394604	1.31380841265692	1.38213539693883
Z4	GCM4_ESM2_10km	rcp45	28.7174317073171	38.2653390243902	40.0204707317073	1.33236356944342	1.39330222749637
Z5	GCM4_ESM2_10km	rcp45	29.0307448453608	38.0427077319588	40.0933850515464	1.31136727329106	1.3814822448388
Z6	GCM4_ESM2_10km	rcp45	22.9177428571429	30.2212538461538	31.4743582417582	1.31695409548299	1.37122458279696
Z1	GCM4_ESM2_10km	rcp85	37.3513135483871	44.2806729032258	55.4808038709677	1.18621214719865	1.48570611475246
Z2	GCM4_ESM2_10km	rcp85	32.0598052147239	37.9878883435583	48.4530144171779	1.18808350462816	1.51698204153459
Z3	GCM4_ESM2_10km	rcp85	33.1001222596965	40.0003932546374	50.4927505902192	1.20834297019607	1.52668550809619
Z4	GCM4_ESM2_10km	rcp85	29.8062048780488	36.5441536585366	46.2939170731707	1.22591002188232	1.55314897870613
Z5	GCM4_ESM2_10km	rcp85	30.2418726804124	36.8549989690722	47.9182448453608	1.21898841462963	1.58644989012805
Z6	GCM4_ESM2_10km	rcp85	24.0328373626374	29.4826835164835	38.5386692307692	1.22663409369126	1.60196587622807
Z1	HadGEM2_ES_10km	rcp26	36.6264509677419	38.0046109677419	35.1063058064516	1.0375072539516	0.95790022172046
Z2	HadGEM2_ES_10km	rcp26	31.0771957055215	34.1382030674847	32.1914981595092	1.10228325288144	1.04061283982896
Z3	HadGEM2_ES_10km	rcp26	33.252189544688	35.4341679595278	32.5090298482293	1.06752076769597	0.979940973868565
Z4	HadGEM2_ES_10km	rcp26	30.5206926829268	32.9811268292683	30.3002609756098	1.08085623748899	0.993038415363735
Z5	HadGEM2_ES_10km	rcp26	30.1725969072165	33.4008541237113	31.2404597938144	1.10816817653262	1.03696004637184
Z6	HadGEM2_ES_10km	rcp26	23.8070791208791	27.207421978022	26.0824879120879	1.14454873773226	1.09807997726594
Z1	HadGEM2_ES_10km	rcp45	35.7553696774194	38.0913625806452	41.0328535483871	1.06467970357644	1.14632307277203
Z2	HadGEM2_ES_10km	rcp45	30.9595588957055	33.852322392638	35.5823595092025	1.09645042830316	1.15265948841695
Z3	HadGEM2_ES_10km	rcp45	32.7591161888702	35.0025386172007	37.392844856661	1.06972151101104	1.1429193370881
Z4	HadGEM2_ES_10km	rcp45	29.8923756097561	32.5428707317073	35.3524219512195	1.08879733188248	1.18267628748605
Z5	HadGEM2_ES_10km	rcp45	30.1728329896907	32.5192	34.3876386597938	1.07878800767354	1.14103051657411
Z6	HadGEM2_ES_10km	rcp45	23.9269736263736	26.5998373626374	28.2445417582418	1.11368726578101	1.1820239132653
Z1	HadGEM2_ES_10km	rcp85	34.5833232258065	43.2236825806452	67.8334270967742	1.24833184915053	1.95911243171331
Z2	HadGEM2_ES_10km	rcp85	29.6917843558282	37.8749515337423	55.6177496932515	1.27720862017397	1.87449162300428
Z3	HadGEM2_ES_10km	rcp85	31.0812325463744	38.4479775716695	58.5251102866779	1.23951033754923	1.88568865638851
Z4	HadGEM2_ES_10km	rcp85	28.3854804878049	35.4137707317073	54.3573731707317	1.24801522490121	1.91455927128869
Z5	HadGEM2_ES_10km	rcp85	28.4345221649485	36.3764597938144	53.714693814433	1.28105909403602	1.89357373134669
Z6	HadGEM2_ES_10km	rcp85	22.7351351648352	29.7100769230769	44.1714120879121	1.30785742379762	1.94186225619369
Z1	MIROC_ESM_CHEM_10km	rcp26	36.5124090322581	41.4039812903226	41.1221096774194	1.13437128335258	1.12680368697561
Z2	MIROC_ESM_CHEM_10km	rcp26	31.5750441717791	36.0920309815951	35.8522892638037	1.14598598307803	1.13822197777315
Z3	MIROC_ESM_CHEM_10km	rcp26	32.8942731871838	37.4724593591906	37.2604389544688	1.1406593772189	1.13365328886354
Z4	MIROC_ESM_CHEM_10km	rcp26	30.1040365853659	34.7159682926829	33.9254853658537	1.15350407210963	1.12694791345317
Z5	MIROC_ESM_CHEM_10km	rcp26	30.1859412371134	34.6711649484536	34.3676731958763	1.1495360336163	1.13896360368826
